Vendor_ID,Vendor_Name,Country,Tax_ID,Bank_Account,Email,Phone,Address,Payment_Terms,Category,Active_Flag
V2384,Vanguard Office Supplies Sdn Bhd,MY,MY-3753498424,,billing@vanguard.office.supplies.bizmail.co,+60 11-213 3585,,N30,Maint/Repair,Y
V2388,Sunrise  Utilities  Berhad,MY,MY-5418546900,346924-89-572883,billing@sunrise.utilities.berhad.bizmail.co,+60 17-187 1169,"83, Jalan Setia, Johor Bahru",30 Days,Logistics,N
V2064,SilverLine Security Services,MY,,862569-94-646781,billing@silverline.security.serv.example.com,,"103, Jalan Damai, Cyberjaya",Net30,Utility,Y
V2433, Skyline Telecom Services ,MY,,805796-93-154382,billing@skyline.telecom.services.bizmail.co,+60 16-380 2994,"120, Jalan Damai, Petaling Jaya",,Utilities,Y
V2099, EverClean Facility Management ,MY,,427766-50-869864,billing@everclean.facility.manag.bizmail.co,+60 12-878 7070,"28, Jalan Melur, Shah Alam",COD,Office supply,N
V2382,NorthStar Logistics,MY,MY-8978533723,512064-42-415504,,+60 13-404 4446,"42, Jalan Damai, Cyberjaya",Net 45,Maint/Repair,Y
V2093, Sunrise Utilities Berhad ,MY,MY-5800746936,838237-67-324993,billing@sunrise.utilities.berhad.bizmail.co,+60 17-304 3009,,Net30,Utilities,N
V2339, SilverLine Security Services ,MY,MY-8560600955,,billing@silverline.security.serv.vendor-mail.com,+60 19-274 4763,,,Professional Services,N
V2000,NorthStar Logistics,MY,MY-2051802512,,,+60 18-189 7912,,Net30,Logistics / Delivery,Y
V2254,brightspark electrical services,MY,MY-6641362499,844943-44-734792,billing@brightspark.electrical.s.bizmail.co,+60 15-865 9535,"106, Jalan Kenanga, Shah Alam",NET 30,Maintenance / Repairs,Y
V2110,TEALTECH SOLUTIONS SDN BHD,MY,MY-8375996697,,billing@tealtech.solutions.sdn.b.example.com,+60 12-516 8793,"52, Jalan Melur, Petaling Jaya",NET-45,Software / Subscription,Y
V2008,EVERCLEAN FACILITY MANAGEMENT,MY,MY-1540137296,676510-31-377932,billing@everclean.facility.manag.finance-vendors.net,+60 18-873 4295,"103, Jalan Setia, Cyberjaya",Net 45,Utility,Y
V2431,GREENLEAF PROFESSIONAL SERVICES,MY,MY-7980337876,331890-39-617795,billing@greenleaf.professional.s.example.com,+60 19-314 1116,,Immediate,Office supply,N
V2020,Metro Maintenance Co.,MY,,501124-14-593554,billing@metro.maintenance.co.finance-vendors.net,+60 13-328 1387,"103, Jalan Melur, Petaling Jaya",Net30,Maint/Repair,Y
V2473,RapidFix IT Services,MY,,544638-41-354125,billing@rapidfix.it.services.bizmail.co,+60 10-814 3422,"117, Jalan Setia, Shah Alam",NET-45,Professional Services,Y
V2173, RapidFix IT Services ,MY,MY-7376649850,626797-51-507247,billing@rapidfix.it.services.example.com,+60 13-130 5602,,COD,Marketing,Y
V2459,CloudNine Software Pte Ltd,SG,SG-72031070,,billing@cloudnine.software.pte.l.finance-vendors.net,+65 9055 7542,"102, Jalan Meranti, Kuala Lumpur",NET-45,Software / Subscription,Y
V2418, SilverLine Security Services ,MY,,,billing@silverline.security.serv.example.com,+60 16-212 2980,"75, Jalan Meranti, George Town",N30,Office supply,Y
